date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:44:30	11520/11520	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2027%20Dec%202021%2010:44:28%20GMT	https://mattfarley.ca/img/logos/userforge.svg	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/logos/userforge.html	(from https://mattfarley.ca/)
11:44:31	672449/672449	---MCZ	200	added ('OK')	application/javascript	etag:W/%2244f077b456f3decb0d1b00769927c002%22	https://use.fontawesome.com/releases/v5.0.6/js/all.js	C:/Mes%20Sites%20Web/Portfolio/use.fontawesome.com/releases/v5.0.6/js/all.js	(from https://mattfarley.ca/startup-inquiry)
11:44:31	850/850	---MC-	200	added ('OK')	text/javascript	date:Mon,%2027%20Dec%202021%2010:44:29%20GMT	https://www.google.com/recaptcha/api.js	C:/Mes%20Sites%20Web/Portfolio/www.google.com/recaptcha/api.js	(from https://mattfarley.ca/startup-inquiry)
11:44:32	12315/12315	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2027%20Dec%202021%2010:44:29%20GMT	https://mattfarley.ca/img/logos/serpmetrics.svg	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/logos/serpmetrics.html	(from https://mattfarley.ca/)
11:44:32	87414/87414	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2027%20Dec%202021%2010:44:29%20GMT	https://mattfarley.ca/js/main-min.js	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/js/main-min.html	(from https://mattfarley.ca/)
11:44:32	5/5	---M--	200	added ('OK')	text/css	etag:%226031ad9b-5%22	https://p.typekit.net/p.css?s=1&k=ojv4ekx&ht=tk&f=15529.15530.25750.25753.25761.25763&a=8080773&app=typekit&e=css	C:/Mes%20Sites%20Web/Portfolio/p.typekit.net/pdba9.css	(from https://use.typekit.net/ojv4ekx.css)
11:44:32	18692/18692	---M--	200	added ('OK')	application/font-woff2	etag:%2212d189ba15482fbefc94e39c9b82ff7c6818d374%22	https://use.typekit.net/af/3e64fb/00000000000000003b9b12fe/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n3&v=3	C:/Mes%20Sites%20Web/Portfolio/use.typekit.net/af/3e64fb/00000000000000003b9b12fe/27/l3eab	(from https://use.typekit.net/ojv4ekx.css)
11:44:32	18920/18920	---M--	200	added ('OK')	application/font-woff	etag:%2212d189ba15482fbefc94e39c9b82ff7c6818d374%22	https://use.typekit.net/af/3e64fb/00000000000000003b9b12fe/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n3&v=3	C:/Mes%20Sites%20Web/Portfolio/use.typekit.net/af/3e64fb/00000000000000003b9b12fe/27/d3eab	(from https://use.typekit.net/ojv4ekx.css)
11:44:32	26888/26888	---M-Z	200	added ('OK')	font/opentype	etag:W/%2212d189ba15482fbefc94e39c9b82ff7c6818d374%22	https://use.typekit.net/af/3e64fb/00000000000000003b9b12fe/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n3&v=3	C:/Mes%20Sites%20Web/Portfolio/use.typekit.net/af/3e64fb/00000000000000003b9b12fe/27/a3eab	(from https://use.typekit.net/ojv4ekx.css)
11:44:33	18444/18444	---M--	200	added ('OK')	application/font-woff2	etag:%226a1b2c6b2a7103117fa02281727f5fc20dc57661%22	https://use.typekit.net/af/4eabcf/00000000000000003b9b12fd/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/Mes%20Sites%20Web/Portfolio/use.typekit.net/af/4eabcf/00000000000000003b9b12fd/27/le196	(from https://use.typekit.net/ojv4ekx.css)
